Date,Open,High,Low,Close,Adj Close,Volume
2023-10-31,6725.000000,6750.000000,6600.000000,6650.000000,6363.620605,5296800
2023-11-01,6700.000000,6950.000000,6600.000000,6650.000000,6363.620605,17099100
2023-11-02,6700.000000,6700.000000,6475.000000,6475.000000,6196.157227,14730300
2023-11-03,6500.000000,6550.000000,6325.000000,6375.000000,6100.463379,17258700
2023-11-06,6375.000000,6425.000000,6325.000000,6350.000000,6076.540039,11673400
2023-11-07,6350.000000,6400.000000,6325.000000,6375.000000,6100.463379,8637700
2023-11-08,6375.000000,6400.000000,6225.000000,6350.000000,6076.540039,9490600
2023-11-09,6350.000000,6400.000000,6300.000000,6325.000000,6052.616699,4705100
2023-11-10,6325.000000,6375.000000,6300.000000,6325.000000,6052.616699,4843800
2023-11-13,6350.000000,6450.000000,6325.000000,6450.000000,6172.233887,5301800
2023-11-14,6450.000000,6500.000000,6375.000000,6375.000000,6100.463379,4049000
2023-11-15,6425.000000,6475.000000,6425.000000,6425.000000,6148.310547,4640400
2023-11-16,6450.000000,6475.000000,6350.000000,6450.000000,6172.233887,4296200
2023-11-17,6450.000000,6450.000000,6350.000000,6425.000000,6148.310547,4205400
2023-11-20,6450.000000,6475.000000,6400.000000,6400.000000,6124.387207,2162700
2023-11-21,6425.000000,6450.000000,6350.000000,6425.000000,6148.310547,4177300
2023-11-22,6425.000000,6425.000000,6350.000000,6350.000000,6076.540039,5321400
2023-11-23,6375.000000,6425.000000,6325.000000,6350.000000,6076.540039,4273200
2023-11-24,6350.000000,6425.000000,6350.000000,6425.000000,6148.310547,1745400
2023-11-27,6425.000000,6500.000000,6400.000000,6400.000000,6124.387207,5362700
2023-11-28,6400.000000,6450.000000,6375.000000,6375.000000,6100.463379,5766500
2023-11-29,6400.000000,6450.000000,6375.000000,6425.000000,6148.310547,4533600
2023-11-30,6375.000000,6425.000000,6275.000000,6425.000000,6148.310547,27474900
2023-12-01,6425.000000,6425.000000,6300.000000,6325.000000,6052.616699,10269200
2023-12-04,6350.000000,6400.000000,6325.000000,6350.000000,6076.540039,6679200
2023-12-05,6375.000000,6475.000000,6350.000000,6475.000000,6196.157227,7961900
2023-12-06,6450.000000,6625.000000,6425.000000,6500.000000,6220.080566,10236700
2023-12-07,6500.000000,6500.000000,6400.000000,6450.000000,6172.233887,5407500
2023-12-08,6400.000000,6425.000000,6325.000000,6400.000000,6124.387207,7280800
2023-12-11,6400.000000,6400.000000,6325.000000,6375.000000,6100.463379,4425400
2023-12-12,6375.000000,6425.000000,6350.000000,6425.000000,6148.310547,3053800
2023-12-13,6400.000000,6425.000000,6350.000000,6400.000000,6124.387207,3848400
2023-12-14,6400.000000,6450.000000,6375.000000,6400.000000,6124.387207,2822100
2023-12-15,6350.000000,6375.000000,6325.000000,6325.000000,6052.616699,11985300
2023-12-18,6325.000000,6375.000000,6250.000000,6275.000000,6004.770020,14586700
2023-12-19,6275.000000,6350.000000,6250.000000,6325.000000,6052.616699,2670000
2023-12-20,6325.000000,6350.000000,6275.000000,6275.000000,6004.770020,5902400
2023-12-21,6300.000000,6325.000000,6250.000000,6275.000000,6004.770020,5786000
2023-12-22,6300.000000,6350.000000,6275.000000,6275.000000,6004.770020,6712600
2023-12-27,6275.000000,6400.000000,6275.000000,6350.000000,6076.540039,3536000
2023-12-28,6350.000000,6500.000000,6350.000000,6450.000000,6172.233887,8530100
2023-12-29,6475.000000,6475.000000,6400.000000,6450.000000,6172.233887,4935900
2024-01-02,6450.000000,6475.000000,6375.000000,6450.000000,6172.233887,5426000
2024-01-03,6450.000000,6475.000000,6400.000000,6400.000000,6124.387207,4723600
2024-01-04,6425.000000,6500.000000,6400.000000,6450.000000,6172.233887,3613500
2024-01-05,6475.000000,6550.000000,6450.000000,6450.000000,6172.233887,8987300
2024-01-08,6450.000000,6500.000000,6400.000000,6400.000000,6124.387207,5581500
2024-01-09,6400.000000,6425.000000,6350.000000,6375.000000,6100.463379,7189600
2024-01-10,6375.000000,6450.000000,6350.000000,6350.000000,6076.540039,8212600
2024-01-11,6400.000000,6425.000000,6350.000000,6350.000000,6076.540039,3817600
